# Resultados de rendimiento
# Programa: bin/mmClasicaOpenMP
# Tamaño matriz: 1000 x 1000
# Número de hilos: 1
# Repeticiones: 30
# Tiempo en microsegundos
#
# Iteracion	Tiempo(us)
1	1635814
2	1674351
3	1295211
4	1297153
5	1301968
6	1294005
7	1301774
8	1304858
9	1293828
10	1672272
11	1643690
12	1635765
13	1714772
14	1669590
15	1656776
16	1667042
17	1553590
18	1684373
19	1663146
20	1654486
21	1679768
22	1644648
23	1639081
24	1646325
25	1633849
26	1295996
27	1283277
28	1285595
29	1682231
30	1702244
