# Resultados de rendimiento
# Programa: bin/mmClasicaPosix
# Tamaño matriz: 1000 x 1000
# Número de hilos: 1
# Repeticiones: 30
# Tiempo en microsegundos
#
# Iteracion	Tiempo(us)
1	1661490
2	1674723
3	1657892
4	1655420
5	1652065
6	1655394
7	1652110
8	1680550
9	1683260
10	1669221
11	1685741
12	1672162
13	1646170
14	1653713
15	1664291
16	1651196
17	1682254
18	1678020
19	1671746
20	1687484
21	1667412
22	1652688
23	1666110
24	1638767
25	1656500
26	1688105
27	1658893
28	1661789
29	1665077
30	1673791
