# Resultados de rendimiento
# Programa: bin/mmClasicaSerie
# Tamaño matriz: 1000 x 1000
# Número de hilos: 2
# Repeticiones: 30
# Tiempo en microsegundos
#
# Iteracion	Tiempo(us)
1	1287347
2	1281945
3	1697835
4	1679809
5	1710527
6	1958037
7	1684305
8	1638327
9	1719772
10	1759417
11	1701475
12	1697461
13	1700600
14	1736178
15	1753178
16	1676134
17	1668069
18	1682890
19	1682536
20	1674605
21	1549669
22	1291153
23	1290373
24	1288600
25	1298234
26	1291956
27	1287969
28	1347276
29	1702734
30	1687222
